freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20144430,Organic derivatives of hydrazine or of hydroxylamine,300000000,2019,KG,5567311,2019,KG,14745381,2019,KG
A,EU27_2020,20144450,Isocyanates,1093665222,2019,KG,369916565,2019,KG,73260715,2019,KG
A,EU27_2020,20144490,Compounds with other nitrogen function (excluding isocyanates),45145105,2019,KG,6794392,2019,KG,15639793,2019,KG
A,EU27_2020,20145133,"Thiocarbamates and dithiocarbamates; thiuram mono-, di- or tetrasulphides; methionine",539528958,2019,KG,26862536,2019,KG,47737974,2019,KG
A,EU27_2020,20145139,Other organo-sulphur compounds,280000000,2019,KG,111242987,2019,KG,117335446,2019,KG
A,EU27_2020,20145150,Organo-inorganic compounds (excluding organo-sulphur compounds),: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20145151,Organo-inorganic compounds (excluding organo-sulphur compounds),178378695,2019,KG,143033958,2019,KG,291755530,2019,KG
A,EU27_2020,20145210,Heterocyclic compounds with oxygen only hetero-atom(s) (including coumarin; methylcoumarins and ethylcoumarins) (excluding other lactones),: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20145215,"Tetrahydrofuran, 2-Furaldehyde, Furfuryl alcohol, Tetrahydrofurfuryl alcohol and Piperonal",20890142,2019,KG,20810472,2019,KG,30448245,2019,KG
A,EU27_2020,20145225,Heterocyclic compounds with oxygen only hetero-atom(s) (excluding other lactones),73763082,2019,KG,20827015,2019,KG,40825943,2019,KG
A,EU27_2020,20145230,Heterocyclic compounds with nitrogen only hetero-atom(s); containing an unfused imidazole ring (excluding hydantoin and its derivatives),7120679,2019,KG,5235829,2019,KG,6084648,2019,KG
A,EU27_2020,20145260,Melamine,272775970,2019,KG,86134424,2019,KG,105887021,2019,KG
A,EU27_2020,20145280,"Compounds containing in the structure an unfused pyridine ring or a quinoline or isoquinoline ring-system, not further fused; lactames; other heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing in the structure an unfused pyrazole ring, an unfused imidazole ring, a pyrimidine ring, a piperazine ring or an unfused triazine ring)",774029829,2019,KG,311100198,2019,KG,95727429,2019,KG
